method,k,num_files,coverage_mean,coverage_std,cd_mean,cd_std,l2_mean,l2_std
random,43,3,0.637617,0.006919,0.045336,0.006360,0.033118,0.010003
random,44,3,0.639282,0.006416,0.044554,0.005967,0.032577,0.008826
random,45,3,0.641321,0.006842,0.043564,0.005792,0.033097,0.009319
random,46,3,0.642574,0.007421,0.043997,0.006686,0.033528,0.010696
random,47,3,0.644159,0.009198,0.046887,0.011139,0.032254,0.011743
random,48,3,0.644435,0.009517,0.041814,0.004494,0.033693,0.010460
random,49,3,0.644666,0.009702,0.041876,0.004190,0.034349,0.009549
random,50,3,0.644778,0.009743,0.041448,0.003847,0.034824,0.009288
random,51,3,0.645335,0.010443,0.041557,0.004000,0.034003,0.010447
random,52,3,0.645724,0.010939,0.040937,0.003130,0.034116,0.010288
random,53,3,0.645865,0.011122,0.040670,0.002756,0.034199,0.010170
random,54,3,0.645925,0.011199,0.040222,0.002131,0.034232,0.010125
random,55,3,0.646201,0.011556,0.040572,0.002619,0.034255,0.010092
random,56,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,57,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,58,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,59,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,60,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,61,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,62,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,63,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,64,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,65,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,66,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,67,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,68,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,69,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,70,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,71,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,72,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,73,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,74,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,75,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,76,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,77,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,78,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,79,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
random,80,3,0.646523,0.011974,0.040286,0.002220,0.033995,0.010459
